tconst,startYear,runtimeMinutes
tt11240348,2024,95.0
tt1124037,2016,139.0
tt11240506,2020,102.0
tt11242162,2022,113.0
tt11242218,2020,107.0
tt11245972,2022,114.0
tt11252248,2022,101.0
tt11252440,2020,95.0
tt11253090,2021,163.0
tt11260832,2021,123.0
tt11263022,2021,87.0
tt11265320,2022,89.0
tt11271038,2021,133.0
tt11274492,2023,95.0
tt11278476,2022,90.0
tt11281220,2024,118.0
tt11284280,2020,86.0
tt11285280,2021,90.0
tt11285908,2019,130.0
tt11286210,2022,98.0
tt11286314,2021,138.0
tt11286640,2020,96.0
tt11291274,2022,107.0
tt11301886,2024,131.0
tt11301946,2022,155.0
tt11304740,2023,95.0
tt11306376,2021,145.0
tt11307724,2021,103.0
tt11307814,2021,86.0
tt11311958,2020,134.0
tt11314148,2021,146.0
tt11315808,2024,138.0
tt11317142,2020,77.0
tt1131724,2017,98.0
tt11322920,2020,177.0
tt11327514,2020,95.0
tt11348232,2022,89.0
tt11357580,2020,118.0
tt11358390,2023,93.0
tt11358398,2020,114.0
tt11364772,2023,134.0
tt11365186,2022,134.0
tt1136617,2023,118.0
tt1137450,2018,107.0
tt1137470,2015,100.0
tt11374902,2021,148.0
tt11375428,2022,172.0
tt11379988,2022,149.0
tt11382384,2020,119.0
tt11385128,2020,140.0
tt11388278,2021,94.0
tt11388406,2020,103.0
tt11388580,2020,85.0
tt11389748,2021,111.0
tt11389872,2024,145.0
tt11390036,2020,120.0
tt11394180,2020,89.0
tt11394182,2020,92.0
tt11394298,2020,84.0
tt11394332,2020,93.0
tt1139592,2017,100.0
tt11396310,2023,150.0
tt11416594,2020,60.0
tt11416746,2020,81.0
tt11418452,2019,109.0
tt11423214,2021,102.0
tt11423818,2022,153.0
tt11426232,2023,106.0
tt11426572,2022,98.0
tt11454718,2020,132.0
tt11456054,2020,109.0
tt11459366,2021,140.0
tt11460992,2022,145.0
tt11464826,2020,94.0
tt11466222,2022,96.0
tt11469744,2019,130.0
tt11490170,2020,125.0
tt11497716,2022,161.0
tt11499506,2020,97.0
tt11502940,2021,145.0
tt11514780,2022,84.0
tt11525022,2020,99.0
tt11525644,2021,115.0
tt11531182,2024,150.0
tt11535228,2021,141.0
tt11539996,2024,112.0
tt11540284,2021,97.0
tt11540468,2024,93.0
tt11540726,2022,103.0
tt11541872,2022,111.0
tt11542214,2020,118.0
tt11547520,2020,110.0
tt11555492,2021,92.0
tt11563070,2022,152.0
tt11563598,2024,141.0
tt11564570,2022,139.0
tt11576124,2020,105.0
tt11580854,2021,173.0
tt11581174,2021,158.0
tt11586384,2021,90.0
tt1158939,2019,100.0
tt11591306,2021,140.0
tt11591424,2021,87.0
tt1160419,2021,155.0
tt11604676,2021,124.0
tt11614912,2020,86.0
tt11615290,2020,119.0
tt11617052,2020,91.0
tt11618536,2020,100.0
tt11628854,2021,92.0
tt11649338,2021,84.0
tt11650226,2021,79.0
tt11651550,2021,146.0
tt11651780,2020,114.0
tt11651796,2020,108.0
tt11655202,2020,116.0
tt11655566,2025,108.0
tt11656172,2020,98.0
tt11656220,2021,99.0
tt11657662,2021,83.0
tt11658120,2021,111.0
tt11663228,2023,168.0
tt11671006,2022,110.0
tt11674730,2023,90.0
tt1167611,2015,103.0
tt11681250,2020,110.0
tt11681282,2021,122.0
tt11686490,2021,85.0
tt11687002,2024,118.0
tt11687104,2022,89.0
tt11697484,2020,93.0
tt11697844,2020,151.0
tt11698630,2021,102.0
tt11700260,2021,115.0
tt11703050,2022,97.0
tt11703244,2022,97.0
tt11703710,2022,124.0
tt11718516,2022,97.0
tt11720440,2023,136.0
tt1172049,2015,101.0
tt11724920,2024,88.0
tt11727866,2022,108.0
tt11729298,2021,112.0
tt11732164,2023,151.0
tt11734264,2021,80.0
tt11738830,2021,93.0
tt11742798,2021,109.0
tt11750282,2020,97.0
tt11755740,2022,81.0
tt11762114,2024,112.0
tt11762434,2021,88.0
tt11767484,2020,120.0
tt11772746,2022,131.0
tt11773308,2023,153.0
tt11773378,2021,167.0
tt11773426,2025,158.0
tt11773810,2023,92.0
tt11777040,2020,134.0
tt11777738,2021,127.0
tt11778118,2020,101.0
tt11783766,2022,140.0
tt1178665,2015,104.0
tt11790780,2021,92.0
tt11792734,2020,112.0
tt1179933,2016,103.0
tt11804152,2021,91.0
tt11807888,2021,100.0
tt11809034,2021,138.0
tt11813216,2022,114.0
tt11815960,2020,115.0
tt11816092,2021,128.0
tt11820950,2023,116.0
tt11821912,2024,176.0
tt11827628,2022,114.0
tt11832046,2021,86.0
tt11833648,2020,120.0
tt1183374,2016,94.0
tt11847410,2021,96.0
tt11851548,2022,99.0
tt11858890,2023,133.0
tt11859012,2021,116.0
tt11866324,2022,100.0
tt11873440,2022,145.0
tt11874226,2020,105.0
tt11881160,2021,96.0
tt11891850,2024,97.0
tt11892272,2021,127.0
tt11893274,2022,89.0
tt11897478,2022,117.0
tt11905462,2020,103.0
tt11905536,2023,130.0
tt11905962,2020,113.0
tt11908172,2023,98.0
tt11909878,2022,103.0
tt11916302,2020,90.0
tt11930126,2022,120.0
tt11934846,2022,147.0
tt11944928,2021,97.0
tt11947158,2022,129.0
tt11950888,2024,97.0
tt11951276,2023,91.0
tt11953194,2022,150.0
tt11953248,2021,151.0
tt11958344,2020,104.0
tt11976134,2024,144.0
tt11976532,2022,107.0
tt11988512,2020,90.0
tt11989890,2020,83.0
tt11991748,2021,137.0
tt11992424,2023,142.0
tt11992694,2022,114.0
tt11994750,2020,94.0
tt11998558,2023,169.0
tt12001534,2025,118.0
tt1200263,2023,141.0
tt12003946,2022,112.0
tt12004038,2022,96.0
tt12015102,2022,148.0
tt12024308,2022,105.0
tt12037194,2024,148.0
tt12058584,2021,110.0
tt1206885,2019,89.0
tt1210027,2025,105.0
tt12108622,2021,86.0
tt1211837,2016,115.0
tt12121582,2022,88.0
tt1212428,2016,141.0
tt12133722,2020,85.0
tt1213641,2018,141.0
tt12137964,2020,97.0
tt12141112,2022,97.0
tt12143990,2023,120.0
tt12193804,2022,144.0
tt1219827,2017,107.0
tt12221748,2020,89.0
tt12223548,2021,98.0
tt12226632,2023,129.0
tt12229370,2021,104.0
tt12244822,2021,98.0
tt12261776,2023,93.0
tt12262116,2022,147.0
tt12263384,2023,122.0
tt1226766,2015,99.0
tt1226837,2018,120.0
tt12274228,2020,108.0
tt12292206,2022,94.0
tt12298506,2020,100.0
tt12299608,2025,137.0
tt12300742,2025,118.0
tt1230168,2017,119.0
tt1230213,2015,93.0
tt12311620,2022,103.0
tt12311866,2020,93.0
tt12335692,2021,87.0
tt12349832,2024,102.0
tt1235187,2018,122.0
tt12358104,2021,70.0
tt12361178,2021,152.0
tt12361974,2021,242.0
tt12374656,2022,130.0
tt12383460,2021,88.0
tt12393526,2020,94.0
tt12412888,2022,122.0
tt1241317,2017,101.0
tt12415546,2020,122.0
tt12422308,2022,162.0
tt12427158,2023,117.0
tt1243974,2015,105.0
tt12447796,2022,104.0
tt12472554,2022,163.0
tt12474056,2020,86.0
tt12476270,2022,93.0
tt12477480,2022,139.0
tt12496706,2021,104.0
tt12519030,2022,91.0
tt12528166,2021,96.0
tt12530246,2022,132.0
tt12531856,2023,110.0
tt12536294,2021,117.0
tt12545566,2022,117.0
tt12547822,2023,100.0
tt12550376,2022,87.0
tt1255919,2018,90.0
tt12567088,2020,149.0
tt12572040,2021,106.0
tt12573454,2023,116.0
tt12573480,2024,94.0
tt12578564,2022,145.0
tt12579470,2023,93.0
tt12583926,2025,111.0
tt12584954,2024,122.0
tt12585076,2022,104.0
tt12592252,2020,84.0
tt12593682,2022,127.0
tt1259528,2018,140.0
tt12607910,2020,85.0
tt12610390,2024,107.0
tt12616480,2024,108.0
tt12618926,2021,123.0
tt1262426,2024,160.0
tt12625756,2021,120.0
tt12663250,2022,125.0
tt12672536,2023,121.0
tt12672620,2023,115.0
tt12676006,2022,102.0
tt12676326,2021,106.0
tt12677092,2020,98.0
tt12680684,2021,130.0
tt12683756,2022,106.0
tt1270797,2018,112.0
tt12708658,2021,105.0
tt12712604,2023,90.0
tt12718300,2022,98.0
tt12724306,2022,79.0
tt12731980,2021,99.0
tt1273221,2018,118.0
tt12735282,2022,93.0
tt12735338,2020,87.0
tt12735488,2024,180.0
tt12736014,2024,99.0
tt12740760,2022,136.0
tt12747748,2023,138.0
tt12749596,2020,57.0
tt12753120,2021,104.0
tt12758060,2023,118.0
tt12758486,2022,108.0
tt12763920,2020,114.0
tt12783454,2021,112.0
tt12788488,2022,87.0
tt12789558,2021,98.0
tt12792418,2020,131.0
tt12800524,2021,108.0
tt12801262,2021,95.0
tt12808182,2021,110.0
tt12810074,2024,99.0
tt12818328,2022,108.0
tt12823454,2023,109.0
tt12829958,2020,90.0
tt12834962,2022,108.0
tt12838766,2021,136.0
tt12844586,2022,110.0
tt12844910,2023,146.0
tt1285009,2018,85.0
tt12851324,2021,130.0
tt12851396,2021,104.0
tt12861212,2021,129.0
tt12861508,2021,97.0
tt12861850,2021,117.0
tt12873562,2022,105.0
tt12875782,2020,92.0
tt12877640,2021,95.0
tt12879624,2020,99.0
tt12885852,2021,83.0
tt12887178,2021,111.0
tt12887770,2021,87.0
tt12888462,2020,85.0
tt12889404,2021,123.0
tt1289401,2016,117.0
tt1289403,2018,124.0
tt1290138,2016,88.0
tt12908110,2022,104.0
tt12908150,2024,111.0
tt1291566,2017,119.0
tt1291570,2015,101.0
tt12915716,2023,179.0
tt12917050,2023,97.0
tt12921446,2023,111.0
tt1292566,2016,110.0
tt12929990,2021,101.0
tt12930350,2024,112.0
tt1293847,2017,107.0
tt12964320,2024,100.0
tt12971924,2020,97.0
tt1298644,2019,93.0
tt12987894,2020,83.0
tt12996154,2022,111.0
tt13007592,2022,99.0
tt1302006,2019,209.0
tt13022984,2022,144.0
tt13024674,2021,127.0
tt13028258,2022,128.0
tt13029044,2021,110.0
tt13045890,2021,96.0
tt13051810,2022,97.0
tt13055780,2020,106.0
tt13056008,2021,87.0
tt13056052,2022,129.0
tt13058290,2020,79.0
tt13061914,2021,118.0
tt13066182,2021,116.0
tt13069986,2021,98.0
tt13070038,2022,95.0
tt13070602,2021,98.0
tt13079150,2021,95.0
tt13086266,2023,130.0
tt1308728,2018,91.0
tt13087796,2021,108.0
tt13095604,2020,100.0
tt13097336,2021,141.0
tt13097434,2020,140.0
tt13097932,2023,109.0
tt13103340,2021,105.0
tt13103732,2022,93.0
tt13109952,2021,113.0
tt1312221,2025,149.0
tt13130024,2023,95.0
tt13130308,2022,157.0
tt13130760,2022,132.0
tt13130948,2023,142.0
tt13131186,2021,159.0
tt13131232,2023,129.0
tt13131350,2022,160.0
tt13133936,2021,84.0
tt13139228,2022,113.0
tt13141250,2023,92.0
tt13143964,2020,95.0
tt13143988,2021,128.0
tt13145534,2022,74.0
tt13150630,2020,113.0
tt13172796,2021,107.0
tt1318517,2018,132.0
tt13186306,2025,91.0
tt13186482,2024,118.0
tt13186604,2024,100.0
tt13204490,2021,73.0
tt13206926,2021,113.0
tt13207508,2021,116.0
tt1321510,2021,143.0
tt13223398,2022,93.0
tt13229894,2022,154.0
tt13231544,2023,197.0
tt13234058,2021,95.0
tt13235822,2022,83.0
tt13236566,2020,95.0
tt13238346,2023,105.0
tt13243898,2020,123.0
tt13249596,2022,117.0
tt13259610,2022,110.0
tt13265876,2021,93.0
tt13266998,2021,88.0
tt13269536,2021,88.0
tt13269580,2021,88.0
tt13270424,2022,90.0
tt13273800,2023,119.0
tt13274016,2023,134.0
tt13276352,2022,90.0
tt13280054,2022,108.0
tt13287846,2023,158.0
tt13299890,2021,100.0
tt1330018,2016,106.0
tt13304286,2022,103.0
tt13309170,2022,92.0
tt13309978,2021,84.0
tt13314558,2022,113.0
tt13317694,2021,113.0
tt13318052,2020,87.0
tt13320622,2022,112.0
tt13320662,2022,117.0
tt13321244,2023,141.0
tt13322120,2021,101.0
tt13323118,2021,92.0
tt13327038,2022,118.0
tt13334578,2023,133.0
tt13345606,2023,96.0
tt13349716,2021,155.0
tt13352968,2022,97.0
tt13354204,2020,100.0
tt13357520,2025,116.0
tt13364468,2022,100.0
tt13365876,2022,95.0
tt13372794,2021,81.0
tt13375076,2023,103.0
tt13381376,2020,126.0
tt13391696,2021,139.0
tt13391708,2022,103.0
tt13391710,2022,162.0
tt13392012,2021,104.0
tt13397574,2024,94.0
tt1340094,2024,111.0
tt1340138,2015,126.0
tt13403046,2022,114.0
tt13405778,2023,107.0
tt13405810,2023,99.0
tt13406136,2022,94.0
tt1341338,2025,134.0
tt13421132,2021,93.0
tt13421498,2022,108.0
tt13423846,2020,100.0
tt13428402,2020,96.0
tt13429362,2021,107.0
tt13429870,2023,103.0
tt13430858,2022,108.0
tt13433802,2024,99.0
tt13446168,2021,130.0
tt13449624,2022,148.0
tt13451410,2025,142.0
tt13452446,2024,110.0
tt13453006,2021,130.0
tt13456318,2022,108.0
tt13457790,2023,101.0
tt13468602,2022,97.0
tt13468976,2022,167.0
tt13482806,2021,115.0
tt13482828,2022,112.0
tt13491110,2021,138.0
tt13491678,2019,80.0
tt13495458,2022,95.0
tt13502736,2021,89.0
tt13507778,2021,100.0
tt13510660,2021,103.0
tt13521006,2023,179.0
tt13524234,2020,105.0
tt13528564,2022,173.0
tt13529034,2021,140.0
tt13534808,2022,146.0
tt13539646,2023,173.0
tt13544716,2021,101.0
tt13551614,2021,122.0
tt1355631,2016,127.0
tt1355644,2016,116.0
tt1355683,2015,123.0
tt13560574,2022,105.0
tt13566172,2023,91.0
tt13570066,2025,127.0
tt13575806,2021,95.0
tt13583144,2021,53.0
tt13586204,2023,89.0
tt13603966,2023,122.0
tt13610562,2022,126.0
tt1361336,2021,101.0
tt13622970,2024,100.0
tt13623916,2022,132.0
tt13634480,2022,82.0
tt13638858,2023,101.0
tt13640696,2022,98.0
tt13648224,2021,86.0
tt13648228,2021,82.0
tt1365050,2015,137.0
tt13650600,2022,105.0
tt13650700,2025,109.0
tt13650742,2024,109.0
tt13650814,2025,94.0
tt13651462,2025,100.0
tt13651628,2021,121.0
tt13651794,2023,117.0
tt13652142,2023,123.0
tt13652286,2024,102.0
tt13654226,2025,128.0
tt13655120,2023,95.0
tt1365519,2018,119.0
tt13655328,2022,89.0
tt13664684,2022,150.0
tt13669038,2022,104.0
tt13694628,2021,112.0
tt13698928,2021,136.0
tt13698942,2022,92.0
tt13717980,2021,105.0
tt13721828,2022,137.0
tt13723064,2020,96.0
tt1374989,2016,108.0
tt13751694,2023,204.0
tt13793230,2022,167.0
tt13795296,2022,121.0
tt13801462,2023,110.0
tt13804084,2021,84.0
tt13818368,2024,166.0
tt13822738,2022,119.0
tt13825336,2022,148.0
tt13829262,2022,110.0
tt13833688,2022,117.0
tt13834006,2021,125.0
tt13834480,2021,59.0
tt13841850,2022,100.0
tt13842562,2021,108.0
tt13845438,2022,122.0
tt13849558,2022,101.0
tt1386691,2017,86.0
tt1386697,2016,123.0
tt13872248,2021,99.0
tt13873302,2022,102.0
tt13874422,2022,96.0
tt13878694,2022,126.0
tt13880104,2021,100.0
tt13885320,2022,117.0
tt13885428,2024,142.0
tt1389072,2017,135.0
tt1389139,2016,107.0
tt13899250,2024,105.0
tt13899570,2023,158.0
tt1390411,2015,122.0
tt13912632,2021,116.0
tt13918550,2022,93.0
tt13919802,2022,147.0
tt1392190,2015,120.0
tt13923084,2023,111.0
tt13923216,2022,107.0
tt13923456,2023,101.0
tt13926298,2024,134.0
tt13927994,2023,175.0
tt13929998,2023,102.0
tt13932162,2021,103.0
tt13957560,2023,105.0
tt13964390,2024,104.0
tt13964404,2021,82.0
tt13964560,2025,90.0
tt1396484,2017,135.0
tt13968674,2023,113.0
tt13978306,2022,94.0
tt13978658,2022,145.0
tt1398426,2015,147.0
tt13984924,2021,104.0
tt13989030,2022,96.0
tt14001894,2022,104.0
tt14002046,2022,144.0
tt14013772,2023,94.0
tt14025788,2021,91.0
tt14030816,2023,94.0
tt14033502,2021,106.0
tt14034294,2024,92.0
tt14034966,2021,121.0
tt14039582,2021,179.0
tt14041896,2025,94.0
tt14042066,2022,132.0
tt14043966,2022,107.0
tt14056466,2024,142.0
tt14058484,2021,97.0
