tconst,startYear,runtimeMinutes,budget,revenue,production_companies,original_language,origin_country,top_3_cast,director,keywords,genres,certification_us,release_date
tt20249418,2023,130.0,,,"[175374, 175375, 80317]",ml,['IN'],"[{'id': 1470729, 'popularity': 0.5546}, {'id': 3303015, 'popularity': 1.2942}, {'id': 3550741, 'popularity': 0.1175}]","[{'id': 3550698, 'popularity': 2.2178}]",,"[27, 35]",,2023-02-03
tt20256448,2024,120.0,,5786313.0,"[100610, 154858, 15780]",en,['AU'],"[{'id': 8783, 'popularity': 3.757}, {'id': 30084, 'popularity': 2.2604}, {'id': 28745, 'popularity': 0.4704}]","[{'id': 75725, 'popularity': 0.4187}]","[5657, 818, 172225, 189402, 215415]","[9648, 53]",R,2024-02-08
tt20256528,2022,95.0,,,"[120143, 176632]",en,['US'],"[{'id': 3488800, 'popularity': 0.22}, {'id': 1224336, 'popularity': 0.1648}, {'id': 3575672, 'popularity': 0.1231}]","[{'id': 2036216, 'popularity': 0.2576}]","[6016, 6078, 6256, 4434, 33372, 34214, 34221, 158718, 161316, 173531, 210039, 222089, 249724, 290527, 294348, 298721, 303942, 325780, 325827, 325838, 325849, 338917]",[99],,2022-06-01
tt20256556,2022,79.0,,,[120143],en,['US'],"[{'id': 2198533, 'popularity': 0.324}, {'id': 4365376, 'popularity': 0.0214}, {'id': 4365378, 'popularity': 0.0143}]","[{'id': 2198533, 'popularity': 0.324}]",,[99],,2022-10-12
tt2025690,2016,117.0,80000000.0,52099090.0,"[78217, 2, 51164, 77739]",en,['US'],"[{'id': 62064, 'popularity': 3.5978}, {'id': 1893, 'popularity': 2.7509}, {'id': 11107, 'popularity': 1.7599}]","[{'id': 50767, 'popularity': 0.862}]","[3547, 11107, 9672, 10349, 168683, 180100, 208611]","[28, 18, 36, 53]",PG-13,2016-01-27
tt20258220,2024,103.0,3200000.0,,"[188701, 188702, 188703, 188705, 141658, 35613]",en,['US'],"[{'id': 1170997, 'popularity': 0.1931}, {'id': 1290939, 'popularity': 0.3395}, {'id': 9777, 'popularity': 2.1205}]","[{'id': 1520631, 'popularity': 0.2823}]","[6154, 8159, 186425]","[28, 12, 14, 27]",NR,2024-07-09
tt20315818,2023,101.0,5000000.0,3046741.0,"[185041, 144610]",en,['US'],"[{'id': 21127, 'popularity': 2.8899}, {'id': 3760259, 'popularity': 0.0888}, {'id': 380, 'popularity': 5.9043}]","[{'id': 3417, 'popularity': 1.9926}]","[1646, 7312, 15025, 184439]","[35, 18]",R,2024-05-30
tt20316748,2024,126.0,38400000.0,95399186.0,"[62894, 69437, 5686, 214726, 197030, 5552, 131587]",cn,['CN'],"[{'id': 89409, 'popularity': 1.9518}, {'id': 78875, 'popularity': 2.8374}, {'id': 62410, 'popularity': 2.9395}]","[{'id': 93991, 'popularity': 1.2275}]","[779, 780, 9717, 309974, 323477, 357278]","[28, 80, 53]",,2024-05-01
tt2032572,2016,128.0,40000000.0,2158568.0,"[85374, 831, 2373, 8692, 37580, 82513]",en,['US'],"[{'id': 2963, 'popularity': 14.078}, {'id': 3197, 'popularity': 2.2657}, {'id': 34202, 'popularity': 1.7049}]","[{'id': 16214, 'popularity': 2.4437}]","[1956, 2988, 9672, 195862, 206828, 207883, 253770, 306194, 370660, 372994, 372995, 372996, 374279, 374311, 374312, 374313]","[28, 10752]",R,2016-09-22
tt20330434,2023,102.0,13700000.0,10436638.0,"[149, 9, 108769, 237221, 11199, 83]",fr,['FR'],"[{'id': 2019443, 'popularity': 0.5695}, {'id': 131607, 'popularity': 0.8013}, {'id': 17882, 'popularity': 2.0849}]","[{'id': 4387, 'popularity': 0.5187}]","[90, 207046, 214548, 309270]","[80, 35, 9648, 18]",,2023-02-24
tt2034800,2016,103.0,150000000.0,331957105.0,"[33, 507, 48873, 923, 86433, 2270]",en,['US'],"[{'id': 1892, 'popularity': 10.7553}, {'id': 1151657, 'popularity': 3.0546}, {'id': 5293, 'popularity': 3.8646}]","[{'id': 607, 'popularity': 3.4992}]","[1299, 478, 4393, 11024, 12995, 14601, 15060, 157788, 163403, 213097, 232499, 273967, 325769, 325778]","[28, 12, 14]",PG-13,2016-12-16
tt2039338,2017,109.0,19000000.0,45158254.0,"[11565, 5, 10246, 33433, 415]",en,['US'],"[{'id': 27578, 'popularity': 4.4693}, {'id': 8688, 'popularity': 9.3639}, {'id': 19961, 'popularity': 4.0906}]","[{'id': 19346, 'popularity': 1.1078}]","[6733, 9714, 14540, 34079, 187675, 189931, 199686, 237778, 240435]","[18, 27, 53]",PG-13,2017-09-28
tt20420628,2023,110.0,10000000.0,1697993.0,"[20782, 141391, 212984, 96310, 212985, 39043, 88565, 39004, 1898]",en,"['US', 'IE', 'GB']","[{'id': 4173, 'popularity': 5.1718}, {'id': 1247, 'popularity': 2.3828}, {'id': 583333, 'popularity': 1.6458}]","[{'id': 1496011, 'popularity': 0.2449}]","[1956, 9672, 10818, 12995, 18071, 159313, 207883, 214548, 264386, 281237, 372208]",[18],PG-13,2023-12-22
tt20452454,2024,140.0,,,"[222101, 177268, 87484]",hi,['IN'],"[{'id': 4915233, 'popularity': 0.0336}, {'id': 87549, 'popularity': 0.4962}, {'id': 1336965, 'popularity': 0.2973}]","[{'id': 4915242, 'popularity': 0.0739}]",[164224],"[35, 18, 10751]",,2024-09-27
tt20465746,2023,124.0,9500000.0,3800000.0,"[115535, 18156, 64061, 128102]",it,['IT'],"[{'id': 17839, 'popularity': 1.0791}, {'id': 1482131, 'popularity': 0.2717}, {'id': 125696, 'popularity': 0.2752}]","[{'id': 40541, 'popularity': 0.4183}]",,"[53, 80]",,2023-03-09
tt2049403,2024,105.0,99000000.0,452000435.0,"[174, 360, 81, 8601, 228708, 216687]",en,['US'],"[{'id': 2232, 'popularity': 3.9839}, {'id': 1920, 'popularity': 4.8132}, {'id': 11514, 'popularity': 4.4086}]","[{'id': 510, 'popularity': 2.6811}]","[6155, 3358, 9663, 9853, 10809, 33505, 34079, 41393, 162846, 230250, 240315, 293198, 351332, 356378, 373208]","[35, 14, 27]",PG-13,2024-09-04
tt2049543,2015,101.0,,4505.0,"[76708, 14531, 200097]",en,['US'],"[{'id': 141961, 'popularity': 0.1956}, {'id': 115126, 'popularity': 0.5418}, {'id': 74133, 'popularity': 0.4292}]","[{'id': 141964, 'popularity': 0.2582}]","[4379, 3417, 5455, 10705, 9767, 8012, 10854, 15325, 160097, 206736, 236189, 243230, 285787, 288422, 297672, 317775, 317776, 317779, 317780]","[9648, 878, 53]",R,2015-07-22
tt20502488,2024,100.0,,,[122077],en,['US'],"[{'id': 37936, 'popularity': 1.596}, {'id': 1996085, 'popularity': 0.6353}, {'id': 1451543, 'popularity': 0.6368}]","[{'id': 141825, 'popularity': 0.4605}]","[242, 247745, 254167, 324429, 325761, 325781, 325784, 325824, 325832]","[10749, 35]",PG,2024-11-05
tt20561198,2023,127.0,8500000.0,2246680.0,"[118001, 8288, 76]",da,['DK'],"[{'id': 1019, 'popularity': 4.3707}, {'id': 1602451, 'popularity': 0.7701}, {'id': 1616206, 'popularity': 0.285}]","[{'id': 74752, 'popularity': 0.4079}]","[818, 9826, 10093, 12337, 13065, 13084, 160279, 182281, 183570, 185204, 185994, 192772, 200234, 202371, 202760, 232468, 282633, 311998, 312898, 325766, 325841]","[28, 18, 36]",NR,2023-10-05
tt2056771,2015,125.0,,7545758.0,"[46344, 694, 77394]",en,['IT'],"[{'id': 3063, 'popularity': 3.5723}, {'id': 73381, 'popularity': 2.3429}, {'id': 5469, 'popularity': 3.4798}]","[{'id': 78160, 'popularity': 1.2209}]","[1357, 2570, 131, 6876, 162066]","[18, 53, 10749]",R,2015-11-26
tt2057392,2015,102.0,13000000.0,18704595.0,"[60262, 69850]",en,['GB'],"[{'id': 15735, 'popularity': 4.7699}, {'id': 84497, 'popularity': 3.0587}, {'id': 4566, 'popularity': 2.8373}]","[{'id': 13079, 'popularity': 0.5627}]","[11930, 13015, 179431, 185454, 212912, 226645]","[18, 53, 10752]",R,2015-09-07
tt2058673,2015,114.0,105000000.0,133782481.0,"[264, 1088, 10289, 195034]",en,"['AT', 'CA', 'DE', 'IN', 'IT', 'US', 'VE']","[{'id': 25616, 'popularity': 1.4664}, {'id': 972356, 'popularity': 1.3989}, {'id': 20374, 'popularity': 2.6063}]","[{'id': 21673, 'popularity': 0.4311}]","[5349, 4654, 1568, 1812, 2006, 9714, 10287, 12670, 15363, 163589, 206931, 302132]","[28, 12, 80, 53]",PG-13,2015-12-03
tt2062700,2017,129.0,10000000.0,1710528.0,"[7493, 22842]",en,['US'],"[{'id': 17288, 'popularity': 3.5885}, {'id': 30614, 'popularity': 10.339}, {'id': 108916, 'popularity': 2.3912}]","[{'id': 30715, 'popularity': 0.9575}]","[128, 4048, 1556, 4746, 11190, 161188, 197100, 244886, 249626]","[10749, 18]",R,2017-03-17
tt2066051,2019,121.0,40000000.0,167300000.0,"[4, 114732, 5374, 28320, 2253]",en,"['CA', 'US', 'GB']","[{'id': 1303037, 'popularity': 7.0631}, {'id': 478, 'popularity': 3.2563}, {'id': 512991, 'popularity': 2.8725}]","[{'id': 974, 'popularity': 1.5937}]","[212, 726, 3490, 1228, 4344, 5565, 9672, 7464, 10229, 11700, 12670, 14743, 158718, 191458, 208992, 258533]","[10402, 18]",R,2019-05-17
tt20672490,2022,101.0,,116699.0,"[183602, 124794]",en,['US'],"[{'id': 1563266, 'popularity': 1.2092}, {'id': 974169, 'popularity': 9.1391}, {'id': 141432, 'popularity': 0.5735}]","[{'id': 1006762, 'popularity': 0.1931}]","[3441, 2173, 4995, 163484, 163512, 224818, 239390, 298930]","[9648, 53, 35, 27]",R,2022-07-15
tt20672534,2023,128.0,,,"[12386, 203381]",ja,['JP'],"[{'id': 1509675, 'popularity': 1.5283}, {'id': 1419914, 'popularity': 1.7924}, {'id': 1574954, 'popularity': 1.1472}]","[{'id': 2057233, 'popularity': 0.8216}]","[6152, 10349, 12377, 18712, 179430, 186565, 195668]","[35, 27]",R,2023-08-03
tt2069797,2018,96.0,,,"[562, 3172, 3281, 33]",en,['US'],"[{'id': 17052, 'popularity': 2.4017}, {'id': 1467989, 'popularity': 0.3797}, {'id': 1276, 'popularity': 1.764}]","[{'id': 94108, 'popularity': 0.0911}]","[3358, 10911, 168490, 190007]","[27, 53]",R,2018-05-10
tt2072230,2015,98.0,,30810658.0,"[955, 882, 59118, 1778, 14602, 4330, 11846, 8157, 11848, 11726, 3032, 41861, 569, 3031]",ja,['JP'],"[{'id': 133168, 'popularity': 1.3494}, {'id': 226711, 'popularity': 1.5088}, {'id': 114725, 'popularity': 1.0685}]","[{'id': 80752, 'popularity': 1.1707}]","[4375, 11100, 4372, 13141, 18514, 156803, 288394]","[27, 28, 878]",NR,2015-08-01
tt2072233,2017,95.0,30000000.0,32540674.0,"[829, 7493, 76314, 10427]",en,['US'],"[{'id': 134, 'popularity': 2.7736}, {'id': 11705, 'popularity': 3.6649}, {'id': 20212, 'popularity': 3.4831}]","[{'id': 232959, 'popularity': 0.4377}]","[642, 1930, 3149, 11578, 10291, 11199, 11734, 14570, 321464, 325778]","[28, 80, 53]",R,2017-01-12
