tconst,startYear,runtimeMinutes,budget,revenue,production_companies,original_language,origin_country,top_3_cast,director,keywords,genres,certification_us,release_date
tt7070818,2019,96.0,,853898.0,"[10339, 76992]",en,['US'],"[{'id': 19536, 'popularity': 2.744}, {'id': 1183546, 'popularity': 1.4206}, {'id': 32907, 'popularity': 2.1112}]","[{'id': 19536, 'popularity': 2.744}]","[6075, 567, 4791, 9823, 11836, 13209, 18249, 160246, 161958, 211351, 217080, 222863, 237778, 275600, 294543]",[35],R,2019-11-18
tt7073710,2018,98.0,,,[52207],en,['CA'],"[{'id': 1685904, 'popularity': 0.8501}, {'id': 943913, 'popularity': 1.7369}, {'id': 54692, 'popularity': 0.8017}]","[{'id': 1310518, 'popularity': 0.2448}]","[1329, 1889, 6259, 2587, 9826, 11826, 154855, 157701, 164658]","[27, 53]",R,2018-08-24
tt7084386,2021,95.0,,,"[154935, 100640, 78193, 3291, 113613]",en,"['MX', 'US']","[{'id': 1091423, 'popularity': 0.7708}, {'id': 6065, 'popularity': 3.8567}, {'id': 1193391, 'popularity': 0.6186}]","[{'id': 1636905, 'popularity': 0.1236}]","[534, 6783, 1495, 255632]","[12, 18, 10751]",NR,2021-05-27
tt7094488,2021,125.0,,,"[1569, 90793]",hi,['IN'],"[{'id': 1034471, 'popularity': 0.5679}, {'id': 1034470, 'popularity': 0.6084}, {'id': 973402, 'popularity': 0.889}]","[{'id': 116143, 'popularity': 0.3816}]",[],"[53, 18]",,2021-03-19
tt7095654,2018,123.0,,,"[49096, 20064, 112648, 73918]",ko,['KR'],"[{'id': 138336, 'popularity': 0.9364}, {'id': 1530733, 'popularity': 1.1736}, {'id': 123766, 'popularity': 1.0261}]","[{'id': 1293710, 'popularity': 0.8381}]","[2231, 9714, 10175, 11199, 18023, 167580, 206694, 209525, 236708]","[80, 28, 53]",,2018-05-22
tt7112154,2018,119.0,,,"[81418, 4667, 7003, 10764]",ja,['JP'],"[{'id': 1185386, 'popularity': 1.3445}, {'id': 1822694, 'popularity': 0.9798}, {'id': 1112526, 'popularity': 1.0025}]","[{'id': 1487492, 'popularity': 1.277}]","[3521, 10941, 10642, 12369]","[18, 10749]",NR,2018-09-01
tt7121252,2018,100.0,,,"[28699, 779]",it,['IT'],"[{'id': 1395660, 'popularity': 1.2644}, {'id': 128426, 'popularity': 0.2125}, {'id': 69489, 'popularity': 1.0607}]","[{'id': 1202504, 'popularity': 0.1544}]",[5565],[18],,2018-09-12
tt7125774,2018,125.0,,11859396.0,"[1478, 331, 694, 1635]",de,['DE'],"[{'id': 124709, 'popularity': 0.3072}, {'id': 113999, 'popularity': 0.5188}, {'id': 572648, 'popularity': 1.291}]","[{'id': 18072, 'popularity': 0.6021}]","[292, 1772, 1776, 2296, 2934, 3497, 9672, 6421, 156026, 220650, 314730]","[53, 18, 36]",,2018-09-27
tt7130300,2025,92.0,,,[112447],en,['GB'],"[{'id': 116, 'popularity': 4.7689}, {'id': 529, 'popularity': 2.702}, {'id': 971049, 'popularity': 1.0902}]","[{'id': 38785, 'popularity': 0.2506}]","[736, 818, 1422, 5340, 3864, 9826, 223019, 231832, 316332, 325835]","[9648, 53, 80]",R,2025-10-09
tt7133686,2018,106.0,22000000.0,,"[107335, 82853, 69484]",en,"['CA', 'US']","[{'id': 17697, 'popularity': 7.0662}, {'id': 93285, 'popularity': 1.4412}, {'id': 58224, 'popularity': 2.2553}]","[{'id': 1455548, 'popularity': 0.15}, {'id': 1393015, 'popularity': 0.2014}]","[6054, 4556, 10624, 10937, 11322, 14544, 167541, 278823, 288474, 290667]","[16, 28, 12, 35, 10751, 878]",PG,2018-09-07
tt7142506,2018,99.0,,,"[103398, 2622]",hi,['IN'],"[{'id': 6501, 'popularity': 1.1819}, {'id': 86881, 'popularity': 0.2543}, {'id': 1432496, 'popularity': 0.2865}]","[{'id': 1046688, 'popularity': 0.1741}]",[187056],"[18, 10749]",,2018-09-20
tt7147158,2022,98.0,,,[96310],en,['US'],"[{'id': 56675, 'popularity': 2.2029}, {'id': 12261, 'popularity': 2.1129}, {'id': 1583355, 'popularity': 0.7774}]","[{'id': 3684978, 'popularity': 0.0311}]",[],[53],NR,2022-10-07
tt7147540,2018,122.0,,,[1569],hi,['IN'],"[{'id': 1108119, 'popularity': 1.7606}, {'id': 81928, 'popularity': 0.8278}, {'id': 52974, 'popularity': 0.4213}]","[{'id': 1312092, 'popularity': 0.2256}]","[41246, 325804]","[35, 18, 10751]",,2018-09-28
tt7149730,2020,93.0,,,"[49827, 118544, 94525, 136348]",en,"['CA', 'US']","[{'id': 12795, 'popularity': 3.9022}, {'id': 82809, 'popularity': 4.2578}, {'id': 42376, 'popularity': 2.8983}]","[{'id': 1489560, 'popularity': 0.3731}]","[1415, 798, 414, 1366, 5340, 9720, 10941, 10714, 33457, 155805]","[53, 28, 80]",R,2020-07-18
tt7153488,2020,87.0,,,"[120541, 120542, 145728, 86633]",en,['US'],"[{'id': 83218, 'popularity': 1.1423}, {'id': 1228915, 'popularity': 1.4677}, {'id': 1027298, 'popularity': 0.7762}]","[{'id': 1339364, 'popularity': 0.2198}]","[2831, 9748, 11024, 15378, 34009, 212757, 219404]",[28],R,2020-12-14
tt7156222,2018,73.0,,,"[102468, 19037, 75816, 109458, 7561, 11246]",fr,"['BE', 'FR']","[{'id': 47820, 'popularity': 1.0708}, {'id': 145123, 'popularity': 0.3641}, {'id': 1852487, 'popularity': 0.2387}]","[{'id': 133398, 'popularity': 0.4611}]","[6149, 10123, 9856, 10877, 14540, 15321, 33699, 164555, 165450, 166582, 205607, 207534, 207819, 207898, 208280, 228545, 256318, 284103, 284439, 290670, 297139, 309627, 309974, 330083, 335012, 335242]",[35],NR,2018-07-04
tt7167686,2019,87.0,,,"[2785, 429]",en,['US'],"[{'id': 3035, 'popularity': 1.7285}, {'id': 11008, 'popularity': 2.8535}, {'id': 11678, 'popularity': 1.8708}]","[{'id': 90367, 'popularity': 0.803}, {'id': 1959810, 'popularity': 0.5451}]","[9715, 6506, 9717, 11628, 210772, 250810, 359527]","[878, 16, 28, 14, 18]",PG-13,2019-01-13
tt7170950,2018,98.0,,,"[107512, 107513, 107514]",en,['US'],"[{'id': 40462, 'popularity': 3.4304}, {'id': 7090, 'popularity': 2.3507}, {'id': 19274, 'popularity': 3.9319}]","[{'id': 54716, 'popularity': 0.4487}]","[1022, 179383, 187056, 204703, 234630, 240303]",[18],R,2018-08-03
tt7178640,2020,106.0,,,"[87017, 174, 12, 53152]",en,"['CA', 'US']","[{'id': 55536, 'popularity': 2.1066}, {'id': 55466, 'popularity': 1.4981}, {'id': 21127, 'popularity': 2.8899}]","[{'id': 170820, 'popularity': 0.6358}]",[310],"[35, 878, 10749]",PG,2020-11-26
tt7179784,2018,160.0,,,"[18048, 35124]",ta,['IN'],"[{'id': 544977, 'popularity': 1.2827}, {'id': 559892, 'popularity': 0.6079}, {'id': 225312, 'popularity': 1.5699}]","[{'id': 1925154, 'popularity': 0.1637}]","[2157, 12361, 33646, 242169, 244411]","[28, 53]",,2018-05-11
tt7180544,2017,154.0,,,"[93991, 7435]",hi,['IN'],"[{'id': 1427894, 'popularity': 0.5272}, {'id': 1940149, 'popularity': 0.1886}, {'id': 85882, 'popularity': 1.0373}]","[{'id': 85670, 'popularity': 1.0226}]","[209476, 226086]",[18],,2018-01-12
tt7183578,2018,130.0,38272500.0,,"[122289, 30148, 69484, 116133, 76473, 60498, 25660]",cn,"['CN', 'HK']","[{'id': 1619, 'popularity': 2.9115}, {'id': 21908, 'popularity': 3.0675}, {'id': 41894, 'popularity': 3.0722}]","[{'id': 66719, 'popularity': 1.0126}]",[],"[28, 80, 9648]",R,2018-09-30
