tconst,startYear,runtimeMinutes,budget,production_companies,original_language,origin_country,top_3_cast,director,keywords,genres,certification_us,release_date,profitable
tt3501632,2017,130.0,180000000.0,[420],en,['US'],"[{'id': 74568, 'popularity': 6.455}, {'id': 103, 'popularity': 4.6283}, {'id': 91606, 'popularity': 3.1125}]","[{'id': 55934, 'popularity': 2.8884}]","[9715, 10201, 9717, 9663, 10158, 166726, 179101, 179430, 179431, 180547, 197582, 230105, 325814, 325839]","[28, 878, 35]",PG-13,2017-10-02,1
tt10308928,2020,91.0,15000000.0,"[290, 121423, 138238, 138239, 3604, 24513, 85562, 65649, 138240, 10405]",en,['US'],"[{'id': 2461, 'popularity': 4.1145}, {'id': 46593, 'popularity': 2.2365}, {'id': 7517, 'popularity': 1.8696}]","[{'id': 41887, 'popularity': 0.5042}]","[642, 6149, 2124, 2215, 3882, 10051, 9826, 11258, 14527, 33347, 156031, 208156]","[28, 12, 80, 53]",R,2020-07-02,0
tt1392190,2015,120.0,150000000.0,"[174, 79, 28382, 41624]",en,"['AU', 'US']","[{'id': 2524, 'popularity': 7.0512}, {'id': 6885, 'popularity': 7.7339}, {'id': 3292, 'popularity': 3.2487}]","[{'id': 20629, 'popularity': 1.1569}]","[10084, 5657, 1965, 4458, 10349, 10562, 190954, 212516, 321464, 350338, 367714, 371492, 371773, 373544, 373545, 373546, 373547, 373548]","[28, 12, 878]",R,2015-05-13,1
tt14230458,2023,141.0,35000000.0,"[127929, 6705, 22213, 3353, 72597, 138287]",en,['US'],"[{'id': 54693, 'popularity': 7.2845}, {'id': 103, 'popularity': 4.6283}, {'id': 5293, 'popularity': 3.8646}]","[{'id': 122423, 'popularity': 1.3609}]","[3799, 212, 1706, 90, 818, 1523, 1902, 7340, 9673, 10303, 11322, 13005, 13059, 14624, 14760, 33451, 157676, 162804, 189464, 190178, 191731, 194998, 197758, 203836, 214655, 228558, 234119, 245317, 252596, 257258, 258464, 283085, 325765, 325835, 325857]","[878, 10749, 35]",R,2023-12-07,1
tt1160419,2021,155.0,165000000.0,[923],en,['US'],"[{'id': 1190668, 'popularity': 6.3575}, {'id': 933238, 'popularity': 6.2942}, {'id': 25072, 'popularity': 3.6376}]","[{'id': 137427, 'popularity': 2.2747}]","[11195, 2964, 6092, 818, 530, 4565, 2280, 5789, 6074, 4238, 6410, 10202, 9552, 9748, 10170, 10085, 9882, 10489, 13031, 18034, 18109, 40850, 158144, 161176, 178080, 194063, 240237, 286709, 325787, 370131, 370792, 370793]","[878, 12]",PG-13,2021-09-15,0
tt4778988,2016,98.0,20000000.0,"[11958, 68413, 97, 111475, 27497]",en,['US'],"[{'id': 57755, 'popularity': 5.3106}, {'id': 51991, 'popularity': 0.9464}, {'id': 28633, 'popularity': 2.4355}]","[{'id': 3026, 'popularity': 2.4218}]","[840, 833, 4098, 5720, 14548, 33483, 193533, 208992]","[18, 36]",R,2017-11-03,0
tt4680182,2016,109.0,15000000.0,"[90622, 1063, 7344, 80834, 6626, 88607, 108869]",en,['US'],"[{'id': 1813, 'popularity': 13.0444}, {'id': 58224, 'popularity': 2.2553}, {'id': 970216, 'popularity': 1.0211}]","[{'id': 118303, 'popularity': 0.6455}]","[242, 1415, 1299, 4280, 13031, 14549, 33457, 157701, 160246, 161791, 188351, 200918, 202371, 290327, 325766, 325780, 325798, 325834]","[18, 14, 878]",R,2017-04-06,0
tt22004344,2024,112.0,3000000.0,"[37871, 111866, 2531]",en,['US'],"[{'id': 3608273, 'popularity': 0.7238}, {'id': 1476330, 'popularity': 0.7594}, {'id': 1186941, 'popularity': 7.2556}]","[{'id': 910328, 'popularity': 0.2066}]","[128, 395, 3230, 4552, 4232, 8181, 10683, 10624, 9986, 11616, 13088, 160961, 163963, 165402, 188237, 191008, 210608, 222174]",[35],R,2024-03-15,0
tt5764096,2017,132.0,3213790.0,[86699],hi,['IN'],"[{'id': 76793, 'popularity': 1.6895}, {'id': 1694714, 'popularity': 0.6366}, {'id': 1819978, 'popularity': 0.6086}]","[{'id': 37238, 'popularity': 0.1949}]",[206225],"[35, 18]",NR,2017-05-19,1
tt6203702,2025,157.0,8733004.0,[60536],hi,['IN'],"[{'id': 1338512, 'popularity': 1.568}, {'id': 85881, 'popularity': 1.5683}, {'id': 3637362, 'popularity': 0.1989}]","[{'id': 1343127, 'popularity': 0.2625}]",[],"[28, 10749, 53]",NR,2025-09-05,0
